School Name,State Name [Public School] Latest available year,School ID - NCES Assigned [Public School] Latest available year,State Abbr [Public School] Latest available year,County Name [Public School] 2017-18,Charter School [Public School] 2017-18,Magnet School [Public School] 2017-18,Shared Time School [Public School] 2017-18,Urban-centric Locale [Public School] 2017-18,School-wide Title I [Public School] 2017-18,Title I Eligible School [Public School] 2017-18,Title I School Status [Public School] 2017-18,National School Lunch Program [Public School] 2017-18,Total Students All Grades (Excludes AE) [Public School] 2017-18,Free Lunch Eligible [Public School] 2017-18,Direct Certification [Public School] 2017-18,Reduced-price Lunch Eligible Students [Public School] 2017-18,Free and Reduced Lunch Students [Public School] 2017-18,Male Students [Public School] 2017-18,Female Students [Public School] 2017-18,American Indian/Alaska Native Students [Public School] 2017-18,Asian or Asian/Pacific Islander Students [Public School] 2017-18,Hispanic Students [Public School] 2017-18,Black or African American Students [Public School] 2017-18,White Students [Public School] 2017-18,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2017-18,Two or More Races Students [Public School] 2017-18,Total Race/Ethnicity [Public School] 2017-18,Full-Time Equivalent (FTE) Teachers [Public School] 2017-18,Pupil/Teacher Ratio [Public School] 2017-18
ACCELERATION ACADEMY,FLORIDA,1.20E+11,FL ,St. Lucie County,2-No,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,355,173,172,4,177,182,173,1,2,92,156,97,1,6,355,4,88.75
ACCELERATION ACADEMY,WASHINGTON,5.30E+11,WA ,Pierce County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,193,73,–,3,76,99,94,6,2,34,27,102,4,18,193,0,†
ACCELERATION DAY AND EVENING ACADEMY,ALABAMA,10019702432,AL ,Mobile County,1-Yes,–,–,12-City: Mid-size,–,–,–,–,245,197,144,1,198,118,127,3,2,4,177,50,1,8,245,7,35
ACCELERATION EAST,Florida,1.20E+11,FL ,Orange County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),184,117,127,10,127,73,111,0,1,142,20,18,1,2,184,16,11.5
ACCELERATION MIDDLE CHARTER SCHOOL,FLORIDA,1.20E+11,FL ,Lee County,1-Yes,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,–,78,67,67,0,67,47,31,0,0,23,34,16,0,5,78,6,13
ACCELERATION WEST,Florida,1.20E+11,FL ,Orange County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),281,205,212,7,212,121,160,1,2,91,166,14,2,5,281,26,10.81
ACCELERE,Nebraska,3.17E+11,NE ,Douglas County,†,†,2-No,11-City: Large,†,†,†,No,†,0,–,0,0,†,†,†,†,†,†,†,†,†,0,0,†
ACCESS,Minnesota,2.73E+11,MN ,Washington County,2-No,2-No,2-No,21-Suburb: Large,2-No,1-Yes,2-Title I targeted assistance school,No,10,3,–,0,3,4,6,0,0,0,2,7,0,1,10,–,†
ACCESS CHARTER,Florida,1.20E+11,FL ,Orange County,1-Yes,2-No,2-No,21-Suburb: Large,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,–,136,–,3,–,3,114,22,0,3,47,21,60,1,4,136,22,6.18
ACCESS COUNTY COMMUNITY,California,69102410567,CA ,Orange County,2-No,2-No,–,12-City: Mid-size,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,No,1753,1408,–,67,1475,1064,689,12,36,1343,44,261,10,47,1753,96.5,18.17
ACCESS JUVENILE HALL,California,69102409236,CA ,Orange County,2-No,2-No,–,11-City: Large,2-No,1-Yes,2-Title I targeted assistance school,No,356,353,–,0,353,297,59,1,4,312,13,21,2,3,356,43.5,8.18
ACCESS TO EDUCATION,Florida,1.20E+11,FL ,Manatee County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,47,19,14,3,22,36,11,1,5,11,11,17,0,2,47,9,5.22
ACCIDENT ELEMENTARY,Maryland,2.40E+11,MD ,Garrett County,2-No,2-No,2-No,42-Rural: Distant,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,Yes participating without using any Provision or the CEO,263,86,–,20,106,140,123,–,–,5,–,249,–,9,263,21,12.52
ACCION ACADEMY,New York,3.60E+11,NY ,Bronx County,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),152,136,–,3,139,78,74,0,1,112,36,3,0,0,152,11,13.82
ACCLAIM ACADEMY,Arizona,40012201585,AZ ,Maricopa County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,341,289,–,17,306,191,150,0,0,333,2,4,0,2,341,–,†
ACCOKEEK ACADEMY,Maryland,2.40E+11,MD ,Prince George's County,2-No,1-Yes,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,1514,466,–,138,604,746,768,3,62,157,1189,58,9,36,1514,90,16.82
ACCOMPSETT ELEMENTARY SCHOOL,New York,3.63E+11,NY ,Suffolk County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes under Provision 2,538,42,–,7,49,275,263,0,20,44,7,454,2,11,538,41.12,13.08
ACCOMPSETT MIDDLE SCHOOL,New York,3.63E+11,NY ,Suffolk County,2-No,1-Yes,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,604,52,–,6,58,313,291,2,28,59,12,490,2,11,604,52.05,11.6
ACE ACADEMY  JEFFERSON SITE,MICHIGAN,2.60E+11,MI ,Wayne County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,21,21,–,–,21,21,0,0,0,0,19,2,0,0,21,0.5,42
ACE ACADEMY FOR SCHOLARS AT THE GERALDINE FERRARO CAMPUS,New York,3.60E+11,NY ,Queens County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes under Community Eligibility Option (CEO),548,313,–,47,360,286,262,1,87,267,17,160,1,15,548,35.03,15.64
ACE ACADEMY SDA GLENDALE LINCOLN WOODWARD JEFFERSON,Michigan,2.60E+11,MI ,Wayne County,1-Yes,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,159,156,–,–,156,158,1,1,1,1,120,33,0,3,159,7.92,20.08
ACE ALLIANCE CHARTER ELEMENTARY,Wisconsin,5.51E+11,WI ,Winnebago County,1-Yes,2-No,2-No,13-City: Small,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,124,9,–,5,14,69,55,1,8,3,–,108,–,4,124,6.6,18.79
ACE CHARTER HIGH,California,61182013023,CA ,Santa Clara County,1-Yes,2-No,–,11-City: Large,2-No,1-Yes,2-Title I targeted assistance school,No,327,263,–,34,297,175,152,–,5,319,1,2,–,–,327,12.37,26.43
ACE COMMUNITY CHALLENGE SCHOOL,Colorado,80336001764,CO ,Denver County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,181,173,90,2,175,109,72,1,–,169,4,7,–,–,181,4.73,38.27
ACE DAY & NIGHT SCHOOL  - CLOSED,Arizona,40630003174,AZ ,Maricopa County,2-No,†,†,11-City: Large,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,†,†
ACE EMPOWER ACADEMY,California,69103512198,CA ,Santa Clara County,1-Yes,2-No,–,11-City: Large,2-No,1-Yes,2-Title I targeted assistance school,No,337,299,–,20,319,192,145,–,4,331,1,–,–,1,337,12,28.08
ACE ESPERANZA MIDDLE,CALIFORNIA,61437013740,CA ,Santa Clara County,1-Yes,2-No,–,11-City: Large,2-No,1-Yes,2-Title I targeted assistance school,No,304,250,–,28,278,173,131,1,2,294,2,3,–,2,304,10,30.4
ACE INSPIRE ACADEMY,CALIFORNIA,63459013852,CA ,Santa Clara County,1-Yes,2-No,–,11-City: Large,2-No,1-Yes,2-Title I targeted assistance school,No,256,199,–,31,230,129,127,3,4,238,4,4,3,–,256,6,42.67
ACE LEADERSHIP HIGH SCHOOL,New Mexico,3.50E+11,NM ,Bernalillo County,1-Yes,†,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),316,316,148,0,316,189,127,6,0,300,0,8,0,2,316,18.75,16.85
ACE PREPARATORY ACADEMY,INDIANA,1.80E+11,IN ,Marion County,1-Yes,2-No,2-No,11-City: Large,2-No,1-Yes,2-Title I targeted assistance school,Yes under Community Eligibility Option (CEO),80,53,52,10,63,36,44,–,–,6,58,7,1,8,80,4.05,19.75
ACE PROGRAM,Massachusetts,2.51E+11,MA ,Worcester County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,–,27,–,15,–,–,24,3,0,0,5,0,21,0,1,27,7.15,3.78
ACE TECHNICAL CHARTER HIGH SCHOOL,Illinois,1.71E+11,IL ,Cook County,1-Yes,1-Yes,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,306,303,–,0,303,169,137,–,–,49,251,4,1,1,306,8,38.25
ACEQUIA ELEMENTARY SCHOOL,Idaho,1.60E+11,ID ,Minidoka County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,No,337,284,–,50,334,174,163,1,0,120,0,214,0,2,337,16,21.06
ACEQUIA MADRE ELEMENTARY,New Mexico,3.50E+11,NM ,Santa Fe County,2-No,†,2-No,13-City: Small,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,168,33,22,6,39,76,92,5,6,57,2,97,0,1,168,10.7,15.7
ACERO CHTR  ROBERTO CLEMENTE CMPS,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,548,506,–,0,506,275,273,2,–,525,14,6,1,–,548,25.5,21.49
ACERO CHTR  SOR JUANA INES DE LA,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,691,647,–,0,647,328,363,7,13,467,187,12,–,5,691,49,14.1
ACERO CHTR - BARTOLOME DE LAS,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,279,261,–,0,261,126,153,–,–,276,3,–,–,–,279,13,21.46
ACERO CHTR - CARLOS FUENTES CMPUS,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,551,505,–,0,505,271,280,–,2,537,3,5,–,4,551,28,19.68
ACERO CHTR - ESMERA SANTIAGO CMPS,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,283,264,–,0,264,131,152,1,1,269,6,6,–,–,283,18,15.72
ACERO CHTR - OCTAVIO PAZ CAMPUS,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,370,358,–,0,358,194,176,1,–,339,27,1,–,2,370,21,17.62
ACERO CHTR - OFFICER MARQUEZ CMPS,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,576,543,–,0,543,287,289,3,–,568,4,1,–,–,576,29,19.86
ACERO CHTR - RUFINO TAMAYO CAMPUS,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,287,273,–,0,273,151,136,2,–,283,2,–,–,–,287,17,16.88
ACERO CHTR - SANDRA CISNEROS CMPS,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,536,511,–,0,511,258,278,2,1,529,2,2,–,–,536,27,19.85
ACERO CHTR - SPC ZIZUMBO CAMPUS,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,625,556,–,0,556,288,337,2,1,609,1,10,–,2,625,32,19.53
ACERO CHTR NETRK -  MAJOR GARCIA,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,600,562,–,0,562,323,277,2,2,582,3,11,–,–,600,37,16.22
ACERO CHTR NETWORK - JOVITA IDAR,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,571,531,–,0,531,294,277,1,–,568,2,–,–,–,571,25.06,22.79
ACERO CHTR NETWORK - PFC TORRESS,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,582,525,–,0,525,297,285,1,–,572,7,2,–,–,582,29,20.07
ACERO CHTR SCH NETWRK- VICTORIA,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,551,529,–,0,529,332,219,–,–,544,5,2,–,–,551,39,14.13
ACERO CHTR-BRIGHTON PARK CAMPUS,ILLINOIS,1.71E+11,IL ,Cook County,1-Yes,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,No,570,544,–,0,544,287,283,–,–,566,2,–,–,2,570,28,20.36
ACES HIGH SCHOOL,Washington,5.31E+11,WA ,Snohomish County,2-No,2-No,–,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,181,97,–,18,115,109,72,2,7,69,10,70,6,17,181,12,15.08
ACGC ELEMENTARY GRADES 5 AND 6,Minnesota,2.70E+11,MN ,Meeker County,2-No,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,No,124,43,–,17,60,69,55,1,–,11,1,110,–,1,124,9.25,13.41
ACHIEVABLE DREAM ACADEMY,Virginia,5.10E+11,VA ,Newport News city,2-No,1-Yes,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,668,559,–,0,559,327,341,2,0,39,596,11,1,19,668,37,18.05
ACHIEVABLE DREAM MIDDLE/HIGH,Virginia,5.10E+11,VA ,Newport News city,2-No,1-Yes,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,439,367,–,0,367,184,255,1,1,22,400,5,0,10,439,29,15.14
ACHIEVE,Minnesota,2.73E+11,MN ,Hennepin County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,24,18,–,1,19,15,9,0,1,3,8,3,0,9,24,13,1.85
ACHIEVE ACADEMY,Texas,4.85E+11,TX ,Collin County,2-No,2-No,–,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,135,38,–,7,45,89,46,1,2,40,11,72,1,8,135,14.8,9.12
ACHIEVE ACADEMY,Colorado,80555002004,CO ,Adams County,2-No,1-Yes,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,554,307,213,69,376,276,278,–,20,416,12,97,–,9,554,31.15,17.78
ACHIEVE ACADEMY,California,62805011561,CA ,Alameda County,1-Yes,2-No,–,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,675,583,–,59,642,326,349,2,28,610,18,13,2,2,675,32.16,20.99
ACHIEVE ALTERNATIVE HIGH SCHOOL,New York,3.61E+11,NY ,Westchester County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,43,32,–,0,32,23,20,0,0,16,22,3,0,2,43,10,4.3
ACHIEVE BLENDED LEARNING ACADEMY,COLORADO,80333006681,CO ,Delta County,2-No,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,No,18,5,3,2,7,7,11,–,–,3,–,14,–,1,18,1.36,13.24
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,3.90E+11,OH ,Lucas County,1-Yes,–,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),129,–,126,–,–,68,61,0,0,12,97,11,0,9,129,5,25.8
ACHIEVE CENTER OF PASCO,Florida,1.20E+11,FL ,Pasco County,2-No,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes participating without using any Provision or the CEO,48,45,42,0,45,39,9,0,0,9,9,27,0,3,48,9,5.33
ACHIEVE CHARTER ACADEMY,Michigan,2.60E+11,MI ,Wayne County,1-Yes,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,776,90,–,20,110,389,387,2,427,18,87,209,3,30,776,33.8,22.96
ACHIEVE CHARTER SCHOOL OF PARADISE INC.,California,62982011571,CA ,Butte County,1-Yes,2-No,–,31-Town: Fringe,–,–,–,No,236,79,–,20,99,103,133,5,5,31,4,183,–,8,236,9.5,24.84
ACHIEVE COMMUNITY CHARTER SCHOOL,NEW JERSEY,3.40E+11,NJ ,Essex County,1-Yes,†,2-No,11-City: Large,2-No,1-Yes,2-Title I targeted assistance school,No,61,54,–,2,56,23,38,–,–,12,48,–,–,1,61,4.1,14.88
ACHIEVE EARLY COLLEGE H S,Texas,4.83E+11,TX ,Hidalgo County,2-No,2-No,–,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),491,359,–,0,359,183,308,0,9,476,0,5,0,1,491,23.25,21.12
ACHIEVE LANGUAGE ACADEMY,Minnesota,2.70E+11,MN ,Ramsey County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,448,181,–,35,216,207,241,3,149,176,57,47,3,13,448,33.02,13.57
ACHIEVE ONLINE,Colorado,80306006428,CO ,El Paso County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,246,109,84,20,129,118,128,1,1,64,13,149,–,18,246,14.5,16.97
ACHIEVE VIRTUAL EDUCATION ACADEMY,Indiana,1.81E+11,IN ,Marion County,2-No,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,–,220,29,62,2,31,61,159,–,2,25,47,143,–,3,220,36.36,6.05
ACHIEVEMENT ACADEMY,Florida,1.20E+11,FL ,Polk County,1-Yes,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),157,77,77,0,77,107,50,0,0,46,30,78,0,3,157,25,6.28
ACHIEVEMENT ACADEMY AT HARBOR CITY HIGH,Maryland,2.40E+11,MD ,Baltimore city,2-No,2-No,2-No,11-City: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),343,343,219,0,343,184,159,1,–,5,332,4,–,1,343,20,17.15
ACHIEVEMENT FIRST APOLLO CHARTER SCHOOL,New York,3.60E+11,NY ,Kings County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),849,723,–,77,800,424,425,8,37,274,515,10,3,2,849,72.97,11.63
ACHIEVEMENT FIRST ASPIRE CHARTER SCHOOL,New York,3.60E+11,NY ,Kings County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),559,417,–,37,454,269,290,9,6,114,424,2,0,4,559,50.01,11.18
ACHIEVEMENT FIRST BRIDGEPORT ACADEMY,Connecticut,90020801493,CT ,Fairfield County,1-Yes,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1062,1023,–,16,1039,516,546,3,11,463,569,5,11,–,1062,71,14.96
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,3.60E+11,NY ,Kings County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1038,817,–,32,849,472,566,10,9,114,896,4,2,3,1038,93,11.16
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,3.60E+11,NY ,Kings County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1052,630,–,114,744,508,544,5,2,40,995,4,1,5,1052,112,9.39
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,3.60E+11,NY ,Kings County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),859,645,–,74,719,391,468,10,5,186,648,4,1,5,859,93,9.24
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,3.60E+11,NY ,Kings County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1033,704,–,88,792,489,544,4,3,131,876,9,2,8,1033,68.73,15.03
ACHIEVEMENT FIRST HARTFORD ACADEMY,Connecticut,90021201528,CT ,Hartford County,1-Yes,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1149,1140,–,7,1147,559,590,3,7,332,800,3,4,–,1149,103,11.16
ACHIEVEMENT FIRST ILUMINAR,RHODE ISLAND,4.40E+11,RI ,Providence County,1-Yes,†,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,367,234,–,45,279,177,190,0,3,256,83,11,0,14,367,26.75,13.72
ACHIEVEMENT FIRST LINDEN CHARTER SCHOOL,NEW YORK,3.60E+11,NY ,Kings County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),462,362,–,40,402,232,230,2,2,80,368,3,4,3,462,40,11.55
ACHIEVEMENT FIRST NORTH BROOKLYN PREPARATORY CHARTER SCHOOL,NEW YORK,3.60E+11,NY ,Kings County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),419,385,–,19,404,211,208,3,3,314,88,11,0,0,419,42.79,9.79
ACHIEVEMENT FIRST PROVIDENCE,Rhode Island,4.40E+11,RI ,Providence County,1-Yes,†,2-No,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,451,342,–,44,386,239,212,0,7,317,90,19,0,18,451,28,16.11
ACHIEVEMENT FIRST VOYAGER CHARTER SCHOOL,NEW YORK,3.60E+11,NY ,Kings County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),187,142,–,14,156,84,103,6,2,12,161,1,0,5,187,14,13.36
ACHIEVEMENT FIRST-BUSHWICK CHARTER SCHOOL,New York,3.60E+11,NY ,Kings County,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),1113,845,–,88,933,577,536,1,10,753,336,8,3,2,1113,80.9,13.76
ACHIEVEMENT HIGH SCHOOL,MICHIGAN,2.63E+11,MI ,Macomb County,2-No,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,25,18,–,1,19,19,6,0,0,0,15,8,0,2,25,1.32,18.94
ACHIEVEMENT HOUSE CS,Pennsylvania,4.20E+11,PA ,Chester County,1-Yes,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,No,447,–,–,–,–,209,238,2,0,85,89,240,2,29,447,27.67,16.15
ACHIEVEMENT INTEGRITY AND MATURITY,Virginia,5.10E+11,VA ,Fairfax County,2-No,2-No,1-Yes,21-Suburb: Large,†,†,†,No,†,†,†,†,†,†,†,†,†,†,†,†,†,†,0,–,†
ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE ES,District of Columbia,1.10E+11,DC ,District of Columbia,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),486,–,309,–,–,256,230,–,–,9,472,3,–,2,486,43,11.3
ACHIEVEMENT PREPARATORY ACADEMY PCS - WAHLER PLACE MS,District of Columbia,1.10E+11,DC ,District of Columbia,1-Yes,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),476,–,284,–,–,252,224,1,–,3,469,–,–,3,476,32,14.88
ACHILLE ES,Oklahoma,4.00E+11,OK ,Bryan County,2-No,†,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,267,153,112,30,183,142,125,52,–,14,1,169,–,31,267,14,19.07
ACHILLE HS,Oklahoma,4.00E+11,OK ,Bryan County,2-No,†,2-No,42-Rural: Distant,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,93,43,24,18,61,52,41,16,–,3,2,66,–,6,93,7.28,12.77
ACHILLES ELEM,Virginia,5.10E+11,VA ,Gloucester County,2-No,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,2-Title I targeted assistance school,Yes participating without using any Provision or the CEO,418,160,–,30,190,191,227,1,1,21,19,346,0,30,418,29,14.41
ACHZIGER EL,Texas,4.83E+11,TX ,Dallas County,2-No,2-No,–,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,Yes participating without using any Provision or the CEO,971,593,–,99,692,492,479,10,12,651,183,95,1,19,971,55.85,17.39
ACKERLY,Kentucky,2.10E+11,KY ,Jefferson County,†,2-No,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,16,10,–,0,10,7,9,0,0,0,4,12,0,0,16,2,8
ACKERMAN ELEM,Mississippi,2.80E+11,MS ,Choctaw County,2-No,2-No,2-No,43-Rural: Remote,1-Yes,1-Yes,5-Title I schoolwide school,No,528,301,–,46,347,279,249,0,0,2,173,334,0,19,528,39.81,13.26
ACKERMAN ELEMENTARY SCHOOL,Nebraska,3.17E+11,NE ,Douglas County,†,†,2-No,11-City: Large,†,2-No,6-Not a Title I school,Yes participating without using any Provision or the CEO,480,62,–,23,85,238,242,3,23,29,6,388,1,30,480,28.83,16.65
ACKERMAN SCH.,Missouri,2.93E+11,MO ,St. Louis County,2-No,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,Yes under Community Eligibility Option (CEO),151,151,90,0,151,111,40,–,–,3,112,31,–,5,151,37.16,4.06
ACKERSON LAKE COMMUNITY EDUCATION,Michigan,2.62E+11,MI ,Jackson County,2-No,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,Yes under Community Eligibility Option (CEO),55,32,–,1,33,32,23,0,0,2,1,49,0,3,55,3.8,14.47
